,title,genre_name,y
0,【DVDエンター！】誘拐犯に育てられた女が目にした真実は、孤独か幸福か,movie-enter,0
1,藤原竜也、中学生とともにロケット打ち上げに成功,movie-enter,0
2,『戦火の馬』ロイヤル・プレミアにウィリアム王子＆キャサリン妃が出席,movie-enter,0
3,香里奈、女子高生100人のガチンコ質問に回答「ラーメンも食べる」,movie-enter,0
4,ユージの前に立ちはだかったJOY「僕はAKBの高橋みなみを守る」,movie-enter,0
5,インタビュ—：マット・ボマー（ニール・キャフリー役）,movie-enter,0
6,インタビュー：藤原竜也＆杏「子供って本当にストレートなものを持っている」,movie-enter,0
7,BeeTV『モテキ』が500万DL突破！久保ミツロウ書き下ろし特製待受をプレゼント,movie-enter,0
8,夏だ、プールだ、ピラニアだ！,movie-enter,0
9,『ベルセルク』2作目、最愛の友との決闘と別れを描く,movie-enter,0
10,ベルセルクのパート2を振り返り、岩永洋昭「10000キロカロリーくらい消費した」,movie-enter,0
11,小森純、恐怖メイクで夫の“浮気宣言”を暴露,movie-enter,0
12,【編集部的映画批評】水谷豊の“相棒”は座敷わらしだった,movie-enter,0
13,懐かしのゲームブックをネットで再現,movie-enter,0
14,“ポチたま”の人気コーナー、SMAP・香取慎吾＆広末涼子で映画化,movie-enter,0
15,工藤静香、『ジョン・カーター』絵画コンクールで作品発表,movie-enter,0
16,インタビュー：ローガン・ラーマン、ガブリエラ・ワイルド「カメラが回っていなくても友達」,movie-enter,0
17,即完必至！『アベンジャーズ』BE@RBRICK付き鑑賞券を限定発売,movie-enter,0
18,【編集部的映画批評】本格的なパフォーマンスを約束！,movie-enter,0
19,20万人以上を動員、AKB48第2弾ドキュメンタリー映画が早くもDVD化,movie-enter,0
20,沢尻エリカが約４年半ぶりの女優復帰「いい女って何だろう？」,movie-enter,0
21,峰不二子に勝るとも劣らない、スタイル抜群の“イイ女”が映画デビュー,movie-enter,0
22,“神失格の男”ソーが明かす「アベンジャーズは仲の悪い家族」,movie-enter,0
23,【編集部的映画批評】仮面ライダーとスーパー戦隊の「大人の事情」,movie-enter,0
24,有言実行の男、ジュード・ロウが自信作を引っ提げ来日決定,movie-enter,0
25,【週末映画まとめ読み】夏だ、プールだ、映画館だ！MOVIE,movie-enter,0
26,電撃発表！ブルース・ウィリスが育毛剤をプロデュース!?,movie-enter,0
27,長編アニメーション賞はジョニー・デップの『ランゴ』,movie-enter,0
28,【週末映画まとめ読み】米国版“ガリレオ”、美人すぎる女スパイ・・・今、海外ドラマがアツイ！,movie-enter,0
29,【いちおう妖ヶ劇場】第2話：パパはいつでも娘をパパラッチの巻,movie-enter,0
30,最強映画『アベンジャーズ』、歴代最速で『アバター』『ハリポタ』越え,movie-enter,0
31,“最強”が集結、『アベンジャーズ』ポスター画像が世界初解禁,movie-enter,0
32,栗山千明「チョコあげるのをドキドキしてました」,movie-enter,0
33,ケロロ軍曹が貞子に！？,movie-enter,0
34,マット・デイモンの優しい眼差し、『幸せへのキセキ』のポスター公開,movie-enter,0
35,麻生久美子&大泉洋、W主演映画でパンクバンド結成,movie-enter,0
36,【終了しました】キーファー・サザーランドが話題の海外ドラマを引っ提げ日本上陸！『TOUCH／タッチ』特別試写会にご招待,movie-enter,0
37,「役者になるために生まれて来た」「普段は三枚目」沢尻エリカの素顔,movie-enter,0
38,“夢を追う”子供と“夢を諦めさせる”親の気持ち,movie-enter,0
39,【元気東北・秋田編】自然の大いなる力と家族の絆を噛みしめる,movie-enter,0
40,“日本版EMINEM”ヒップホップ界の頂点が問題作のイメージ楽曲で参戦,movie-enter,0
41,ミッキーがお出迎え「ディズニードリームシアター,movie-enter,0
42,『ロード・オブ・ザ・リング』ファン必見、ついに壮大な冒険が始まる,movie-enter,0
43,『アーティスト』のミシェル・アザナヴィシウスが監督賞を受賞,movie-enter,0
44,『ベルセルク』第2部は、前作を超える“エロス”と“バイオレンス”に注目,movie-enter,0
45,韓国で最高視聴率を記録したドラマが、韓国家庭料理とタイアップ,movie-enter,0
46,今年最初のパンの日に“最幸（さいこう）パンメニュー”が決定,movie-enter,0
47,【プレゼント】1番悪いヤツは誰なのか、北野武監督最新作『アウトレイジ,movie-enter,0
48,スクリーンから貞子が飛び出す！,movie-enter,0
49,脚本にセリフなし？恋人同士のある1日を“即興”で描く新感覚の注目映画,movie-enter,0
50,【週末映画まとめ読み】『ドラゴンボールZ』17年ぶり新作劇場版に世界が興奮！,movie-enter,0
51,“素敵なパパタレント”井戸田「思っていることをちゃんと伝えるのが大事」,movie-enter,0
52,世界で最も美しく、最もセクシーな“美魔女”が来日決定,movie-enter,0
53,ファン必見！,movie-enter,0
54,15歳の天才空手美少女「デビュー作を見てもらえることにワクワクどきどき」,movie-enter,0
55,“神が宿った”新曲披露、『宇宙戦艦ヤマト2199』テレビシリーズを上映,movie-enter,0
56,ジェームズ・キャメロンの来日が決定！,movie-enter,0
57,山田孝之と小西真奈美の映画に撮影していない“あるモノ”が映り込んでいた,movie-enter,0
58,伝説のホラー映画が蘇る、『フライトナイト／恐怖の夜』の予告映像が公開,movie-enter,0
59,『ヘルプ,movie-enter,0
60,3社競合“はやぶさ”ツイッター総選挙「そっくりさんは誰だ？」,movie-enter,0
61,“鉄の女”メリル・ストリープが29年ぶり、3度目のオスカー受賞,movie-enter,0
62,映画『タイタンの逆襲』とのコラボで「ビックリマン」の凄さを再確認,movie-enter,0
63,【週末映画まとめ読み】人気グラドルが新たなセクシー領域に挑戦,movie-enter,0
64,おかもとまり「私、枕営業したことないですから！」,movie-enter,0
65,「最終章」なんて言わないで,movie-enter,0
66,林家三平＆国分佐智子出演『カーズ2』CMのラブラブなメイキング映像を先行公開,movie-enter,0
67,2200万再生を記録した“恐怖すぎる”予告映像の日本版登場,movie-enter,0
68,美女たちがドレスの競演をした東京国際映画祭！スケスケのシースルー衣装を着たセクシー女優も,movie-enter,0
69,「恋の吊り橋理論」を試すなら、史上最叫の3Dアトラクション・ホラー『ファイナル・デッドブリッジ』をチェック,movie-enter,0
70,『TIME/タイム』が3億5000万円で初登場1位、篠田麻里子の宝石と奇跡の同額,movie-enter,0
71,三池監督が映画『一命』について「満島ひかりがいろんな意味で限界までやっている」,movie-enter,0
72,“美魔女”小雪に椎名桔平が子育て指導,movie-enter,0
73,ナイナイ岡村、自分は破談するも「お見合い番組」で恋を応援,movie-enter,0
74,【DVDエンター！】倉科カナが“セイシをかけた”日韓バトルに挑む,movie-enter,0
75,劇場版『TIGER,movie-enter,0
76,インタビュー：木下優樹菜「“本当の強さ”とは、ブレない何かを貫き通している人」,movie-enter,0
77,【週末映画まとめ読み】“全身整形”エリカ様が大胆ランジェリー姿を公開,movie-enter,0
78,【編集部的映画批評】冴えない中年がチョイ悪オヤジに変身、人の数だけ異なる“幸せ”の形,movie-enter,0
79,“今年の顔”剛力彩芽「きものの魅力をたくさんの方に」,movie-enter,0
80,『タイタニック,movie-enter,0
81,2011年“親子の絆”を感じた映画,movie-enter,0
82,小栗旬は“使えない若者”、映画『キツツキと雨』の特報映像公開,movie-enter,0
83,『バック・トゥ・ザ・フューチャー』に登場するデロリアン、世界30台限定で販売,movie-enter,0
84,【週末映画まとめ読み】沢尻エリカ、活動休止の原因とは？,movie-enter,0
